2025-05-31 05:01:57.156 [main] ERROR c.e.h.h.security.EncryptionUtil - CONFIGURATION_ERROR: AES Encryption secret key must be exactly 16 characters long and configured in application.properties as 'encryption.secret.key'. Current length: 59
2025-05-31 05:03:18.415 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 05:07:21.009 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 05:11:01.611 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 05:12:09.777 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 05:13:37.905 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 05:48:54.318 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 05:50:54.517 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 05:53:31.607 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 05:57:03.379 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 06:02:22.410 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 06:03:43.668 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 06:08:00.056 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 06:26:59.809 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 06:28:21.070 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 06:30:09.575 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 06:34:12.290 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 06:35:05.208 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 06:37:53.429 [http-nio-8081-exec-12] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-05-31 06:40:16.199 [http-nio-8081-exec-21] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-05-31 06:51:33.490 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 06:53:30.840 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 06:54:00.268 [http-nio-8081-exec-8] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-05-31 07:01:41.242 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 07:02:16.499 [http-nio-8081-exec-16] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-05-31 07:05:20.862 [http-nio-8081-exec-10] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-05-31 07:20:29.496 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 07:21:00.133 [http-nio-8081-exec-8] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-05-31 07:24:48.111 [http-nio-8081-exec-7] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-05-31 15:37:39.851 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 15:38:22.339 [http-nio-8081-exec-9] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-05-31 15:46:42.306 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-05-31 15:47:21.854 [http-nio-8081-exec-3] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-05-31 15:51:14.906 [http-nio-8081-exec-8] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
