2025-06-01 00:39:27.770 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-06-01 00:40:30.164 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-06-01 00:41:47.093 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-06-01 00:43:20.728 [http-nio-8081-exec-12] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-06-01 00:43:32.671 [http-nio-8081-exec-11] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'assistant' logged in successfully. Roles: [ROLE_ASSISTANT]
2025-06-01 00:43:57.334 [http-nio-8081-exec-12] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-06-01 00:47:56.458 [http-nio-8081-exec-7] WARN  c.e.h.h.s.CustomUserDetailsService - AUTHENTICATION_FAILURE: User not found for username: user
2025-06-01 00:47:56.547 [http-nio-8081-exec-17] WARN  c.e.h.h.controller.LoginController - LOGIN_FAILURE: A login attempt failed.
2025-06-01 00:48:47.113 [http-nio-8081-exec-14] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-06-01 00:59:33.566 [http-nio-8081-exec-4] WARN  c.e.h.h.controller.LoginController - LOGIN_FAILURE: A login attempt failed.
2025-06-01 00:59:42.466 [http-nio-8081-exec-5] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'assistant' logged in successfully. Roles: [ROLE_ASSISTANT]
2025-06-01 01:02:25.849 [http-nio-8081-exec-17] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
2025-06-01 06:01:14.918 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-06-01 06:01:16.870 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-06-01 06:02:17.974 [main] INFO  c.e.h.h.security.EncryptionUtil - EncryptionUtil initialized successfully. Key length: 16
2025-06-01 06:02:34.780 [http-nio-8081-exec-7] INFO  c.e.h.h.controller.LoginController - LOGIN_SUCCESS: User 'admin' logged in successfully. Roles: [ROLE_ADMIN]
